,NCODER_ID,X,UserName,Condition,CONFIDENCE.Pre,CONFIDENCE.Post,CONFIDENCE.Change,C.Level.Pre,NewC.Change,C.Change,Timestamp,ActivityNumber,GroupName,GameHalf,GameDay,text,Hydraulic_c,Technical.Constraints_c,Performance.Parameters_c,PAM_c,Pneumatic_c,Client.and.Consultant.Requests_c,Electric_c,SE_c,null_c,total_after
1,1,1,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:04,5,Electric,First,8,OK. What are we discussing?,0,0,0,0,0,0,0,0,1,1
2,2,2,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:04,5,Electric,First,8,OK. What are we discussing?,0,0,0,0,0,0,0,0,1,1
3,3,3,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:05,5,Electric,First,8,Are we supposed to graph cost per sensor vs RPN?,0,0,1,0,0,0,0,0,0,1
4,4,4,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:06,5,Electric,First,8,For both the sensor and the Battery?,0,1,0,0,0,0,0,0,0,1
5,5,5,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:06,5,Electric,First,8,"Usually, a lower RPN has a higher cost.",0,0,1,0,0,0,0,0,0,1
6,6,6,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:06,5,Electric,First,8,"Usually, a lower RPN has a higher cost.",0,0,1,0,0,0,0,0,0,1
7,7,7,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:07,5,Electric,First,8,I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.,0,1,0,0,0,0,0,0,0,1
8,8,8,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:07,5,Electric,First,8,The only thing is I think that this one was heavier than the other ones,0,0,0,0,0,0,0,0,1,1
9,9,9,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:07,5,Electric,First,8,I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.,0,0,0,0,0,0,0,0,1,1
10,10,10,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:07,5,Electric,First,8,I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.,0,0,0,0,0,0,0,0,1,1
11,11,11,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:09,5,Electric,First,8,"The LiPo battery seems to have many advantages, including its durability, weight, and energy.",0,1,0,0,0,0,0,0,0,1
12,12,12,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:09,5,Electric,First,8,"The LiPo battery seems to have many advantages, including its durability, weight, and energy.",0,1,0,0,0,0,0,0,0,1
13,13,13,akash v,FirstGame,6,8,2,High.Pre,Pos.Change,Pos.Change,9/24/2013 10:10,5,Electric,First,8,Ya I haven't made graphs yet either but it sounded like LiPO had many advantages and I was surprised its RPN was higher than Cadmiums,0,0,1,0,0,0,0,0,0,1
14,14,14,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:10,5,Electric,First,8,"It isn't the most expensive or the most risky either, but those two factors are traded off with all the batteries.",0,1,0,0,0,0,0,0,0,1
15,15,15,brandon l,FirstGame,5,6,1,Low.Pre,Pos.Change,Pos.Change,9/24/2013 10:10,5,Electric,First,8,"It isn't the most expensive or the most risky either, but those two factors are traded off with all the batteries.",0,1,0,0,0,0,0,0,0,1
